,res_id,name,lat,lng,cuisines,aggregate_rating,rating_text,votes,FirstCuisine,SecondCuisine,ThirdCuisine,FourthCuisine
190,16975896,Sushi North,39.9147722222,-104.9937444444,"Sushi, Japanese, Asian",3.5,Good,12,Sushi, Japanese, Asian,
191,17979132,Smokin Fins,39.6137111111,-105.0180194444,"Seafood, Sushi",3.2,Average,13,Seafood, Sushi,,
192,16976310,Sawara,39.4088333333,-104.8595055556,"Japanese, Sushi",3.3,Average,9,Japanese, Sushi,,
193,16972588,Tokyo Joe's,39.5810138889,-104.8864277778,"Japanese, Sushi",3.4,Average,16,Japanese, Sushi,,
194,16975465,Sakura,39.6382966000,-105.0824098000,"Japanese, Sushi",3.3,Average,13,Japanese, Sushi,,
195,16975285,Sushi Bay,39.7706194444,-105.0440444444,"Sushi, Japanese",3.6,Good,12,Sushi, Japanese,,
196,16975397,Thai Chili and Sushi,39.7733916667,-104.7985916667,"Sushi, Thai, Asian",3.5,Good,15,Sushi, Thai, Asian,
197,16975506,Epernay Lounge,39.7458500000,-104.9975750000,"Sushi, New American",3.3,Average,13,Sushi, New American,,
198,16973536,Tokyo Joe's,39.6062800000,-104.7083130000,"Japanese, Sushi",3.5,Good,18,Japanese, Sushi,,
199,17820902,Sushi Totoro,39.6400194444,-104.7930833333,Sushi,3.2,Average,8,Sushi,,,
200,16967791,Cherry Cricket,39.7194800000,-104.9567300000,"American, Burger, Mexican",4.7,Excellent,865,American, Burger, Mexican,
201,16973012,Wynkoop,39.7533500000,-104.9985300000,"American, Burger, Bar Food",4.4,Very Good,420,American, Burger, Bar Food,
202,16973776,Park Burger,39.6822750000,-104.9804472222,"American, Burger",4.9,Excellent,256,American, Burger,,
203,16967789,Cherry Creek Grill,39.7193555556,-104.9496611111,"Burger, American, Steak",4.4,Very Good,207,Burger, American, Steak,
204,16974364,Crave Real Burgers,39.3948400000,-104.8886300000,Burger,4.6,Excellent,147,Burger,,,
205,16974353,Highland Tap and Burger,39.7622700000,-105.0133300000,"American, Burger, Bar Food",4.3,Very Good,134,American, Burger, Bar Food,
206,16973328,Rockyard American Grill & Brewing Company,39.4091250000,-104.8694444444,"Burger, American",4.1,Very Good,104,Burger, American,,
207,16971366,Rialto Cafe,39.7470194444,-104.9945055556,"New American, Sandwich, Burger",3.8,Good,136,New American, Sandwich, Burger,
208,16971149,Pumphouse Brewery,40.1688222222,-105.1023861111,"American, Burger, Tex-Mex",4.5,Excellent,139,American, Burger, Tex-Mex,
209,16973184,Five Guys,39.6746210000,-104.8704510000,"Fast Food, Burger",4.4,Very Good,116,Fast Food, Burger,,
210,16973842,Lo Hi Steak Bar,39.7621800000,-105.0110900000,"American, Burger, Steak",4.2,Very Good,101,American, Burger, Steak,
211,16974072,Cheddar's Scratch Kitchen,39.5936100000,-104.8043100000,"American, Burger, Bar Food",4.3,Very Good,88,American, Burger, Bar Food,
212,16974037,Highland Tavern,39.7645611111,-105.0039361111,"American, Burger, Bar Food",4.2,Very Good,95,American, Burger, Bar Food,
213,16975030,Twin Peaks,39.7365416667,-105.1565777778,"American, Burger",3.6,Good,86,American, Burger,,
214,16971518,Sam's No. 3 Aurora,39.6697400000,-104.8655800000,"Burger, Diner, Mexican, American",4.1,Very Good,98,Burger, Diner, Mexican, American
215,16972496,Ted's Montana Grill,39.7722555556,-104.7968833333,"American, Burger, Steak",4.0,Very Good,98,American, Burger, Steak,
216,16975045,Ignite Kitchen + Cocktails,39.7544300000,-104.9901500000,"American, Burger",3.9,Good,69,American, Burger,,
217,16976545,5280 Burger Bar - Downtown Denver Pavilions,39.7435364000,-104.9913688000,Burger,3.6,Good,37,Burger,,,
218,16973133,Two Dog Diner,40.1355250000,-105.1034388889,"American, Burger, Diner",4.1,Very Good,73,American, Burger, Diner,
219,16974391,Park & Co,39.7435000000,-104.9814083333,"American, Burger",4.2,Very Good,73,American, Burger,,
